activite_branches|activite_branches_reduite|activite_insee_1949|activite_sgf_1936|adresse|affiliation|annee_creation|annee_disparition|annee_fusion|annuaire_1890|annuaire_1897|annuaire_1914|caran|cas_problematique|Cgpf_1930|cgpf_groupe|chgt_dpt|chgt_type|commerce_en_gros|commune|cote_dossier|cote_registre|date_creation|date_declaration|date_dissolution|departement|dissolution|duree_syndicat|effectif_creation|effectifs_evolution|effectifs_sources|fusion|id_coac|lieu_conservation_dossier|lieu_conservation_registre|nouvelles|numero|numero_syndicat|numro_synd_absorbant|observations|pk|present_01_01_1890|present_01_01_1900|present_01_01_1914|present_01_01_1920|present_01_01_1926|present_01_01_1930|present_01_01_1936|present_01_01_1937|present_théorique_01_01_1890|present_théorique_01_01_1900|present_théorique_01_01_1914|present_théorique_01_01_1920|present_théorique_01_01_1926|present_théorique_01_01_1930|present_théorique_01_01_1936|present_théorique_01_01_1937|section|theorique_sect_01_01_1884|theorique_sect_01_01_1890|theorique_sect_01_01_1900|theorique_sect_01_01_1914|theorique_sect_01_01_1920|theorique_sect_01_01_1926|theorique_sect_01_01_1930|theorique_sect_01_01_1936|theorique_sect_01_01_1937|titre_du_syndicat_modifie_1|titre_du_syndicat_modifie₂|titre_du_syndicat_originel|type_syndicat_1|type_syndicat2|zone_couverte_origine|nature_du_syndicat|titre_du_syndicat_copie|archivage|lieu_conservation_registre_copie|divers|notes|activite|activite_insee_49_00_000|cas_douteux|fichier_complement|present_theorique_01_01_1946
Agroalimentaire|Commerce|69|6A|mairie (1914)||1902|||||Oui||||||||Voiron|||01/09/1902|01/10/1902||38||-1902||"1906 : 14
1914 : 14"||||||||38069||issue de la scission avec les bouchers charcutiers créé en 1899|405|||||||||||||||||||Non|Non|Oui||||||Syndicat professionnel des patrons charcutiers de la ville de Voiron (1914)||Syndicat des charcutiers de Voiron||syndicat professionnel|commune (zones limitrophes)|||||||||||
|Autres services|89|8A|"17 rue de France (1906)
Chez M. Valet, rue Chanrion (1914)"||1904|||||Oui||||||||Grenoble|4448 W 9 ||26/07/1904|25/05/1904||38||-1904||"1906 : 50
1914 : 98"||||||||38070||"4448 W 9 : lettre annonçant le changement de nom du synd et avec liste du CA pour 1908.
1914 : bibliothèque"|406|||||||||||||||||||Non|Non|Oui||||||Union syndicale des parfumeurs et coiffeurs de Grenoble et des environs (1908)||Union des coiffeurs de Grenoble et des environs||syndicat professionnel|commune (zones limitrophes)|||||||||||
Agroalimentaire|Commerce|69|6A|"14 rue Jean-Jacques Rousseau, chez le pdt (1906)
café des mille colonnes, 13 place Grenette (1914)"||1904|||||Oui|||Oui|2||||Grenoble|||05/02/1904|02/03/1904||38||-1904||"1906 : 20
1914 : 20"||||||||38071|||407|||||||||||||||||||Non|Non|Oui|Oui|Oui|Oui|||||Syndicat des marchands comestibles de Grenoble||syndicat professionnel|commune (zones limitrophes)|||||||||||
|Autres services|91|7|"5 rue de la Liberté (1906)
5 rue Félix Poulat (1914)"||1904|||||Oui||||||||Grenoble|444W 7 ||26/05/1904|17/06/1904||38||-1904||"1906 : 32
1914 : 30"||||||||38072||4448 W 7 : existe encore en 1929 (correspondance préf synd des chirurgiens dentistes de France)|408|||||||||||||||||||Non|Non|Oui|Oui|Oui||||||Chambre syndicale des dentistes du dauphiné et de la Savoie||syndicat professionnel|inter départements|||||||||||
BTP|Industrie|33|4Q|"2 place aux Herbes (1906)
café Debon, place de la République (1914)"||1904|||||Oui|||Oui|14||||Grenoble|||13/01/1904|14/03/1904||38||-1904||"1906 : 7
1914: 9"||||||||38073|||409|||||||||||||||||||Non|Non|Oui|Oui|Oui|Oui|||Chambre syndicale des constructeurs électriciens de la ville de Grenoble||Syndicat des électriciens de Grenoble||syndicat professionnel|commune (zones limitrophes)|||||||||||
Agroalimentaire|Commerce|69|6A|1 rue Saint-Marcel (1906)||1904|||||||||||||Vienne|||18/03/1904|10/04/1904||38||-1904||1906 : 20||||||||38074|||410|||||||||||||||||||Non|Non|Non||||||||Syndicat de l'épicerie de détail et comestible de Vienne||syndicat professionnel|commune (zones limitrophes)|||||||||||
||79|6A|café Mollard, rue de la Fédération||1904|||||||||||||Grenoble|4448 W 9||27/04/1904|28/04/1904||38||-1904||||||||||38075|||411|||||||||||||||||||||||||||||Chambre syndicale des marchands de chiffons, métaux et autres matières au détail||syndicat professionnel|commune (zones limitrophes)|||||||||||
|Banques et assurances|84|6C|Mairie (1906)||1905|||||||||||||Bourgoin|||28/05/1905|29/06/1905||38||-1905||1905 : 25||||||||38076|||412|||||||||||||||||||Non|Non|Non||||||||Syndicat des agents généraux d'Assurances de l'arrondissement de la Tour-du-Pin||syndicat professionnel|arrondissement (zones limitrophes)|||||||||||
Agroalimentaire|Commerce|69|4B|"16 place Notre-Dame (1906)
café Espie, place Grenette (1914)"||1905|||||Oui||||||||Grenoble|||27/01/1905|14/02/1905||38||-1905||"1906 : 20
1914 : 18"||||||||38077|||413|||||||||||||||||||Non|Non|Oui||||||||Syndicat des laitiers de Grenoble||syndicat professionnel|commune (zones limitrophes)|||||||||||
Agroalimentaire|Commerce|69 |6A|"Hôtel de la Chambre de Commerce (1906)
chez M. Monier, 8 rue Voltaire (1914)
chez le pdt, 4 cours Bérriat (1921)"||1905|||||Oui|||Oui|2|||oui|Grenoble|4448 W 7-9||07/02/1905|06/03/1905||38||-1905||"1906 : 12
1914 : 35"||||AD||||38078||"4448 W 9 : FS avec Bureau 1909
4448 W 7 : existe avant août 1921."|414|||||||||||||||||||Non|Non|Oui|Oui|Oui|Oui|||Syndicat des marchands de vins en Gros de l'Isère (1921)|Syndicat des négociants en vins en gros de l'Isère (CGPF 1930)|Syndicat des négociants de vins en gros du département de l'Isère||syndicat professionnel|département|||||||||||
||69|6A|13 place Grenette||1905|||||Oui||||||||Grenoble|4448 W 9||02/04/1905|27/07/1907||38||-1905||||||||||38079||"4448 W 9 : 1 FS sans date
Union de syndicat comprenant : 
Syndicat des bouchers de Grenoble (50)
chambre syndicale de la boulangerie de Grenoble (150)
Chambre syndicale des limonadiers, restaurateurs, hôtels et cafés de Grenoble (20)
Syndicat des marchands de comestibles de Grenoble (20)
Syndicat des patrons confiseurs de Grenoble et de ses environs (70)
Syndicat des charcutiers de Grenoble (25)
Syndicat des épiciers en détail de la ville de Grenoble (40)
Syndicat des laitiers de Grenoble (20)
Syndicat des négociants de vins en gros du département de l'Isère (21)

1 FS 1910  : mêmes syndicats adhérents."|415|||||||||||||||||||Non|Non|Oui||||||||Union des syndicats de l'alimentation|Union|Fédération/Union (dpt. région)|commune (zones limitrophes)|||||||||||
|Transports|62|5B|"2 avenue de la gare, café Belle (1906)
café Bellet, 2 avenue Félix Viallet (1914)"||1906|||||Oui|Oui||Oui|22||||Grenoble|||29/03/1906|26/06/1906||38|Oui|-1906|24|"1906 : 24
1914 : 19"||||||||38080||Caran : dissolution entre 1921-1925|416|||||||||||||||||||Non|Non|Oui|Oui|Oui|Oui|||Syndicat des entrepreneurs de transports (CGPF 1930)||Chambre syndicale de déménagements et de transports de Grenoble et ses environs||syndicat professionnel|commune (zones limitrophes)|||||||||||
|Industrie|20 - 22|4L|Chambre de Commerce (1906-1914)||1906|||||Oui|||Oui|12||||Grenoble|4448 W 7||05/11/1906|10/11/1906||38||-1906||"1906 : 5
1914 : 28"||||||||38081||existe encore en 1930|417|||||||||||||||||||Non|Non|Oui|Oui|Oui|Oui|||Syndicat des Mécaniciens, Chaudronniers et fondeurs de l’isère et des départements voisins (CGPF 1930)||Syndicat des constructeurs Mécaniciens et Chaudronniers de Grenoble et de la région||syndicat professionnel|commune (zones limitrophes)|||||||||||
Textile|Industrie|47|4F|12 rue des Augustins (1914)||1906|||||Oui|Oui|||||||Voiron|||15/07/1905|15/07/1905||38|Oui|-1906||"1906 : 47
1914 : 32"||||||||38082||"Etat1906 : 
pdt : Léon Jourdan, Voiron
vpdt : Colomb, rue général Rambeaud
secr : Descottes, rue de la Gare
tr : Douron, rue Grande
1914 : bibliothèque, bureau de placement

CARAN : fusion en syndicat de région
dissous avant 1914"|418|||||||||||||||||||Non|Non|Oui||||||||Chambre syndicale voironnaise du tissage mécanique de Voiron||syndicat professionnel|commune (zones limitrophes)|||||||||||
Construc. méca., trans. de l'acier|Industrie|26|4L|hôtel Antourlin, place Saint-Maurice (1914)||1906|||||Oui||||||||Vienne|4448 W 9 ; 4448 W 7||15/10/1906|||38||-1906||1914 : 21||||AD||||38083||"24/11/1907
1914 : bureau de placement
4448 W : apparaît dans une liste extraite de celle des synd patronaux à la demande de la 2e sous-intendance militaire de Grenoble. Le syndicat est indiqué comme existant en 1925

"|419|||||||||||||||||||Non|Non|Oui|Oui|||||Chambre syndicale des patrons carrossiers, charrons et bourreliers de Vienne et de la région (24/11/1907)||Chambre syndicale des carrossiers et charrons de Vienne et de la région||syndicat professionnel|commune (zones limitrophes)|||||||||||
Agroalimentaire|Commerce|69|6A|6 rue Sénozan (1914)||1906|||||Oui|||||||oui|Voiron||||||38||-1906||1914 : 31||||||||38084|||420|||||||||||||||||||Non|Non|Oui||||||||Syndicat des négociants et représentants de vins en gros de Voiron et des cantons ci-dessous désignés : Rives, Saint-Etienne-de-Saint-Geoire, Grand-Lemps, Saint-Laurent-du-Pont, Saint-Geoire, Virieu, Tullins, Pont-de-Beauvoisin||syndicat professionnel|canton (zones limitrophes)|||||||||||
|Commerce|78|6A|rue des fossés||1907|19211925||||Oui|Oui|||||||Allevard|||12/03/1907|12/03/1907||38|Oui|19210018|18|"1914 : 19
1920 : 24"||||||||38085|||421|||||||||||||||||||Non|Non|Oui|Oui|||||||Syndicat des limonadiers d'Allevard-les-bains||syndicat professionnel|commune (zones limitrophes)|||||||||||
Agroalimentaire|Industrie|42|4B|rue de la République||1907|||||Oui|||Oui|2||||Grenoble||||||38||-1907||1914 : 27||||||||38086|||422|||||||||||||||||||Non|Non|Oui|Oui|Oui|Oui|||||Chambre syndicale des fabricants d'eaux gazeuses du département de l'Isère||syndicat professionnel|département|||||||||||
|Commerce|76|6A|café Bourgoin, 4 rue Vicat (1914)||1907|19271930||||Oui|Oui||Oui|4||||Grenoble|||16/03/1907|29/03/1907||38|Oui|19270023|14|1914 : 6||||||||38087||Caran : dissolution entre 1927-1930|423|||||||||||||||||||Non|Non|Oui|Oui|Oui|Oui|||||Chambre syndicale des négociants en porcelaines de Grenoble, de l'Isère et des départements limitrophes||syndicat professionnel|inter départements|||||||||||
Construc. méca., trans. de l'acier|Industrie|22|4L|restaurant Latreille, rue Saint-Marcel||1907|1925||||Oui|Oui|||||||Vienne|||03/03/1907|06/03/1907||38|Oui|18|22|"1909 : 22
1914 : 17
1920 : 17"||||||||38088|||424|||||||||||||||||||Non|Non|Oui|Oui|Non|Non|Non|Non|||Chambre syndicale des patrons et anciens patrons maréchaux de Vienne et des communes environnantes||syndicat professionnel|commune (zones limitrophes)|||||||||||
Confection|Industrie|49|4G|29 boulevard Gambetta (1914)||1909|19211925||||Oui|Oui|||||||Grenoble|||15/01/1909|01/07/1909||38|Oui|19210016|26|"1914 : 15
1920 : 30"||||||||38090|||425|||||||||||||||||||Non|Non|Oui|Oui|||||||Association philanthropique des marchands tailleurs de Grenoble||syndicat professionnel|commune (zones limitrophes)|||||||||||
|Autres services|91|7|chez le Dr Fontanel||1909|||||Oui||||||||la Tour-du-Pin||||||38||-1909||1914 : 27||||||||38091|||426|||||||||||||||||||Non|Non|Oui||||||||Syndicat médical de l'arrondissement de la Tour-du-Pin||syndicat professionnel|arrondissement (zones limitrophes)|||||||||||
Agroalimentaire|Commerce|69|6A|4 place Miremont||1909|||||Oui||||||||Vienne||||||38||-1909||1914 : 100||||||||38092|||427|||||||||||||||||||Non|Non|Oui||||||||Syndicat des horticulteurs, maraîchers de la région de Vienne||syndicat professionnel|commune (zones limitrophes)|||||||||||
|Commerce|77 - 78|6A|hôtel de ville||1909|||||Oui||||||||Voiron||||||38||-1909||1914 : 94||||||||38093|||428|||||||||||||||||||Non|Non|Oui||||||||Syndicat des limonadiers, hôtels et restaurants de Voiron et communes environnantes||syndicat professionnel|commune (zones limitrophes)|||||||||||
Agroalimentaire|Commerce|69|6A|"Mairie
hotel Bouillet (1911)"||1910|19211925||||Oui|Oui|||||||Crémieu|||01/01/1910|01/01/1910||38|Oui|19210015|23|1914 : 23||||||||38094|||429|||||||||||||||||||Non|Non|Oui|Oui|||||||Société des fournisseurs de lait de la ligne de l'Est de Lyon||syndicat professionnel|région géographique|||||||||||
Agroalimentaire|Commerce|69|6A|café des mille colonnes, 13 place Grenette (1914)||1910|19211925||||Oui|Oui|||||||Grenoble|||22/02/1910|23/04/1910||38|Oui|19210015|42|"1913 : 48
1920 : 42"||||||||38095||1914 : bureau de placement|430|||||||||||||||||||Non|Non|Oui|Oui|||||||Union des bouchers-tripiers négociants en bestiaux et parties similaires de la ville de Grenoble et des environs||syndicat professionnel|commune (zones limitrophes)|||||||||||
Agroalimentaire|Commerce|69|6A|café de Bourgoin, 4 rue Vicat||1910|1925||||Oui|Oui|||||||Grenoble|||01/08/1910|13/08/1910||38|Oui|15||"1914 : 63
1920 : 48"||||||||38096|||431|||||||||||||||||||Non|Non|Oui|Oui|Non|Non|Non|Non|||Syndicat des marchands de fromages, beurre, oeufs, volailles et produits similaires de la ville de Grenoble et des communes limitrophes||syndicat professionnel|commune (zones limitrophes)|||||||||||
Imprimerie, presse|Industrie|55|4E|café des mille colonnes, 13 place Grenette (1914)||1910|||||Oui|||Oui|19||||Grenoble||||||38||-1910||1914 : 16||||||||38097||4448 W 10 : existe encore en 1966|432|||||||||||||||||||Non|Non|Oui|Oui|Oui|Oui|Oui||||Syndicat des photographes dauphinois||syndicat professionnel|région géographique|||||||||||
|Commerce|78|6A|café de Bourgoin, 4 rue Vicat (1914)||1910|||||Oui||||||||Grenoble||||||38||-1910||1914 : 90||||||||38098|||433|||||||||||||||||||Non|Non|Oui||||||||Chambre syndicale des gérants de débits de tabac de Grenoble et du département de l'Isère ||syndicat professionnel|département|||||||||||
|Commerce|77|6A|place de la sous-préfecture||1910|||||Oui|Oui|||||||la Tour-du-Pin|||11/01/1910|12/02/1910||38|Oui|-1910|40|1914 : 40||||||||38099||caran : dissous après 1914 et avant 1919|434|||||||||||||||||||Non|Non|Oui||||||||Syndicat des débitants de boissons, restaurateurs, etc., du canton de la Tour-du-Pin||syndicat professionnel|canton (zones limitrophes)|||||||||||
|Commerce|81|7|54 rue Boson (1914)||1910|||||Oui|Oui|||||||Vienne|||23/06/1910|27/06/1910||38|Oui|-1910||1914 : 9||||||||38100||dissolution après 1914 et avant 1919|435|||||||||||||||||||Non|Non|Oui||||||||Syndicat des courtiers et représentants du commerce de la ville de Vienne||syndicat professionnel|commune (zones limitrophes)|||||||||||
Agroalimentaire|Commerce|69|6A|café de Bourgoin, 4 rue Vicat||1911|||||Oui||||||||Grenoble||||||38||-1911||1914 : 30||||||||38101|||436|||||||||||||||||||Non|Non|Oui||||||||Syndicat des horticulteurs, producteurs de la région de Grenoble||syndicat professionnel|commune (zones limitrophes)|||||||||||
|Commerce|77|6A|||1911|||||Oui|Oui||Oui|21||||Saint-Martin-d'Uriage|||01/10/1911|24/11/1911||38||-1911|38|"1914 : 63
1920 : 56
"||||||||38102||Caran : dissolution en 1921|437|||||||||||||||||||Non|Non|Oui|Oui|Oui|Oui|||Chambre syndicale des hôteliers d'Uriage-les-Bains (CGPF 1930)||Chambre syndicale des hôteliers, restaurateurs, loueurs de villas et similaires d'Uriage-les-Bains||syndicat professionnel|commune (zones limitrophes)|||||||||||
Agroalimentaire|Commerce|69|6A|6 bis place Grenette (1914)||1912|1920||||Oui|Oui|||||||Grenoble|||14/01/1912|13/08/1912||38|Oui|8||||||||||38103|||438|||||||||||||||||||Non|Non|Oui|Oui|||||||Syndicat des  producteurs-expéditeurs de chrysanthèmes de la région de Grenoble||syndicat professionnel|commune (zones limitrophes)|||||||||||
BTP|Industrie|32|4R|café des mille colonnes, 13 place Grenette (1914)||1912|1925||||Oui|Oui|||||||Grenoble|||01/03/1912|19/07/1912||38|Oui|13||1914 : 11||||||||38104|||439|||||||||||||||||||Non|Non|Oui|Oui|Non|Non|Non|Non|||Syndicat des entrepreneurs marbriers de la région de Grenoble||syndicat professionnel|commune (zones limitrophes)|||||||||||
|Autres services|91|7|Ecole de médecine (1914)||1912|||||Oui||||||||Grenoble||||||38||-1912||1914 : 61||||||||38105|||440|||||||||||||||||||Non|Non|Oui||||||||Syndicat médical de Grenoble||syndicat professionnel|commune (zones limitrophes)|||||||||||
|Commerce|81|7|grand café Robert, 11 place Victor Hugo (1914)||1913|19211925||||Oui|Oui|||||||Grenoble|||16/04/1913|09/05/1913||38|Oui|19210012|80|"1914 : 76
1920 : 60"||||||||38106|||441|||||||||||||||||||Non|Non|Oui|Oui|Non|Non|Non|Non|||Syndicat général des courtiers et représentants de l'Isère||syndicat professionnel|département|||||||||||
BTP|Industrie|33|4Q|5 boulevard Gambetta||1913|||||Oui||||||||Grenoble||||||38||-1913||1914 : 11||||||||38107|||442|||||||||||||||||||Non|Non|Oui||||||||Chambre des métreurs et experts en bâtiment de Grenoble||syndicat professionnel|commune (zones limitrophes)|||||||||||
|Autres services|91|7|chez le Dr Lamache, rue Aymar-du-Rivail (1914)||1913|||||Oui||||||||Saint-Marcellin||||||38||-1913||1914 : 12||||||||38108|||443|||||||||||||||||||Non|Non|Oui||||||||Syndicat médical||syndicat professionnel|commune (zones limitrophes)|||||||||||
Textile|Industrie|47|4F|3 rue des colonnes (1914)||1913|||||Oui||||||||Vienne|||02/11/1913|02/02/1921||38||-1913||1914 : 90||||||||38109|||444|||||||||||||||||||Non|Non|Oui||||||||Syndicat des façonniers et tisseurs à façon de Vienne||syndicat professionnel|commune (zones limitrophes)|||||||||||
|Commerce|75|6A|grand café, 4 cours Sénozan||1913|1930||||Oui|Oui||Oui|5||||Voiron|||19/02/1913|10/03/1913||38|Oui|17||1914 : 12||||||||38110||4448 W 7 : liste extraite de celle des synd patronaux à la demande de la 2e sous-intendance militaire de Grenoble. Le syndicat est indiqué comme existant en 1925. SS tjs 4 cours Sénozan. Pdt : M. Daru.|445|||||||||||||||||||Non|Non|Oui|Oui|Oui|Oui|Non|Non|||Syndicat des marchands de chaussures au détail de Voiron||syndicat professionnel|commune (zones limitrophes)|||||||||||
||69|6A|20 avenue d'Alsace-Lorraine||1918||||||||Oui|2||||Grenoble|||05/11/1918|06/11/1918||38||-1918||1918 : 9||||||||38111||Buts 1918 : représenter la corporation vis à vis de l'Adm° du Ravitaillement civil, d'obtenir les denrées alimentaires de toute ntaure que cette administration est chargée de distribuer, et de les répartir équitablement entre les membres du Syndicat... De faire tout achat en gros de marchandises, de passer tous marchés au nom du groupement afin d'obtenir des conditions de prix plus avantageuses et de répartir en suite (sic) lesdites marchandises entre les adhérents.|446||||||||||||||||||||||Oui|Oui|Oui|||||Syndicat général de l'alimentation du département de l'Isère||syndicat professionnel|département|||||||||||
||52|4I|Chambre de commerce, bd Gambetta (1918||1918||||||Oui|||||||Grenoble|4448 M 8||30/10/1918|31/10/1918||38||-1918||1918 / 18||||||||38112||"Est-il le même que le synd des maîtres artisans de chaussures de Grenoble ?
N'apparaît pas en 4448 W 7 dans la liste extraite de celle des synd patronaux à la demande de la 2e sous-intendance militaire de Grenoble. Le syndicat est indiqué comme existant en 1925

Caran : disparition avant 1920"|447|||||||||||||||||||Non|Non|Non|Oui|||||||Chambre syndicale des fabricants de chaussures et galoches de Grenoble||syndicat professionnel|commune (zones limitrophes)|||||||||||
||69|6A|café de Bourgoin, rue Vicat ||1918||||||||Oui|2|||oui|Grenoble|4448 W 7||21/12/1918|||38||-1918||||||AD||||38113||444W 7 : existe encore en 1930. Statuts. |448|||||||||||||||||||Non|Non|Non|Oui|Oui|Oui|||Syndicat des négociants en grains, graines, farines et fourage de l'Isère (CGPF 1930)||Syndicat des négociants et courtiers en grains, graines, farines et fourage de l'Isère||syndicat professionnel|département|||||||||||
||84|6C|3 avenue Félix Poulat (1919)||1919||||||||||Oui|||Grenoble|4448 W 7||16/09/1919|01/10/1919||38||-1919||"1919 : 79 syndicats adhérents
(liste des syndicats départementaux adhérents dans le dossier)"||||AD||||38114||"1919 : bureau constitué seulement d'Isérois.
siège transféré à Paris en 1922"|449|||||||||||||||||||||||||||||Fédération nationale des syndicats d'agents généraux d'assurances||Fédération/Union (national)|France|||||||||||
||52|4I|"café Richelieu, bd Gambetta (1925)
maison artisanale du Sud-Est, 3 place de Gordes (1926)"||1924|||||||||||||Grenoble|4448 W 7 ||21/10/1924|||38||-1924||1926 : 60||||AD||||38116||"4448 W 7 : liste extraite de celle des synd patronaux à la demande de la 2e sous-intendance militaire de Grenoble. Le syndicat est indiqué comme existant en 1925. Pdt : M. Mollart, 11 rue du Lycée.
Nouveaux statuts de 1926 "|450|||||||||||||||||||Non|Non|Non|Non|Oui||||Chambre syndicale des maîtres artisans de la chaussure et similaire de Grenoble et du Sud-Est.||Syndicat des maîtres artisans de chaussures de Grenoble ||syndicat professionnel|commune (zones limitrophes)|||||||||||
||33|4Q|"5 rue du lycée (1926)
8 rue Lesdiguières (1929)"||1926|||||||||||||Grenoble|4448 W 7||01/09/1926|27/11/1929||38||-1926||1929 : 47||||||||38117||"4448 W 7 : statuts de 1926 (avec membre du bureau et adhérents lors fondation).
Aire géographique d'après les statuts de 1926 : Isère, Drôme, Hautes-Alpes, les deux Savoie et Basses-Alpes et Ardèche.
"|451|||||||||||||||||||||||||||||Syndicat des architectes du Dauphiné et de la Savoie||syndicat professionnel|inter départements|||||||||||
||69|6A|Chambre de Commerce (1931)||1926||||||||Oui|2||||Grenoble|4448 W 7||17/11/1926|24/11/1931||38||-1926||1931 : 18||||||||38118||Exsite encore en 1931|452|||||||||||||||||||Non|Non|Non|Non|Non|Oui|||Syndicat de l'épicerie en gros de l’isère (1930, CGPF)||Syndicat de l'épicerie en gros du Dauphiné||syndicat professionnel|commune (zones limitrophes)|||||||||||
||55|4E|rue Vicat, café de Lyon et Bourgoin||1926|||||||||||||Grenoble|4448 W 7||05/01/1926|||38||-1926||1931 : 53||||||||38119||Existe encore en 1931|453|||||||||||||||||||||||Non|Oui|||||Syndicat des photographes de Grenoble et des Alpes||syndicat professionnel|inter départements|||||||||||
||91|7|Hôpîtal, La Tronche||1929|||||||||||||La Tronche|4448 W 7||19/10/1929|||38||-1929||1929 : 50||||||||38120|||454|||||||||||||||||||||||||||||Syndicat des sages-femmes de Grenoble et du département de l'Isère||syndicat professionnel|département|||||||||||
||91|7|étude de maître Delaye, notaire||1930|||||||||||||Sassenage|4448 W 7||13/10/1930|||38||-1930||||||AD||||38121|||455|||||||||||||||||||||||||||||Syndicat des concessionnaires à perpétuité d'eaux de Sassenage||syndicat professionnel|commune (zones limitrophes)||||||||91630|||
||54|4D|||1930||||||||Oui|18||||Grenoble|4448 W 7|||||38||-1930||||||AD||||38122||"4448 W 7 : Lettre de Joseph Moutin , Papeteries du Drac, rue Ampère à Grenoble, président du nouveau syndicat. M. Refait, de la m° Micoud et Refait, secrétaire.
Adhèrent à ce synd les marchands de papiers en gros et transformateurs de papiers du sud-est. En avril 1930, déjà adhésion des intéressés de l'Isère, de la Drôme, de l'Ardèche et de la Savoie.. "|456|||||||||||||||||||Non|Non|Non|Non|Non|Oui|||Syndicat industriel des fabricants de pâtes, papiers et cartons de la région du Sud-est||Chambre syndicale des papetiers du Sud-Est||syndicat professionnel|inter départements||||||||54500|||
||73|6A|||1931|||||||||||||Saint-Laurent-du-Pont|4448 W7 |||||38||-1931||||||||||38123|||457|||||||||||||||||||||||||||||Groupement des scieurs marchands de bois du massif de la Chartreuse ||syndicat professionnel|région géographique|||||||||||
||74 - 26|4L - 6A|rue de la république, taverne de la Meuse (1931)|||1931||||||||||||Grenoble|4448 W 7||||19/3/1931|38|Oui|1931||||||||||38124||Le 19/3/1931 prononce sa dissolution pour devenir Chambre nationale du commerce de l' automobile, section de l'Isère, même siège. |458|||||||||||||||||Oui||||||||||Chambre nationale du commerce de l' automobile, section de l'Isère||Chambre syndicale des garagistes et réparateurs d'automobiles de Grenoble et la région||syndicat professionnel|commune (zones limitrophes)|||||||||||
||52|4I|céfé Bourgoin, rue Vicat (1925)|||||||||||||||Grenoble|4448 W 7|||||38||||||||||||38125||4448 W 7 : le synd apparaît dans une liste extraite de celle des synd patronaux à la demande de la 2e sous-intendance militaire de Grenoble. Le syndicat est indiqué comme existant en 1925. Pdt : Lamaroux, 4 square des postes. |459|||||||||||||||||||||||||||||Chambre syndicale des patrons en chaussures de Grenoble||syndicat professionnel|commune (zones limitrophes)|||||||||||
||75|6A|chambre de commerce (1925)||||||||||Oui|5||||Grenoble|4448 W 7|||||38||||||||AD||||38126||4448 W 7 : apparaît dans une liste extraite de celle des synd patronaux à la demande de la 2e sous-intendance militaire de Grenoble. Le syndicat est indiqué comme existant en 1925. Pdt :  Escabas, 55 rue Emile Gueymard.|460||||||||||||||||||||||||Oui|||Syndicat des négociants en cuirs et peaux de Grenoble (1930, CGPF)||Syndicat des négociants en peaux de Grenoble||syndicat professionnel|commune (zones limitrophes)|||||||||||
||73|6A|||||||||||Oui|9||||Grenoble|4448 W 7|||||38||||||||||||38128||4448 W 7 : apparaît dans une réponse de la préfecture au Pdt de la Fédé nale des synd de négociants en combustibles (août 1930).|461||||||||||||||||||||||||Oui|||Chambre syndicale des marchands de charbons de Grenoble et la région (1930, CGPF)||Chambre syndicale des marchands de charbons en gros et en détail de Grenoble et la région||syndicat professionnel|commune (zones limitrophes)|||||||||||
||73|6A|13 place Grenette||1911|||||Oui|Oui||Oui|26||||Grenoble|4448 W 7||05/08/1911|14/03/1912||38|Oui|-1911|14|1920 : 14||||||||38129||"4448 W 7 : apparaît dans une réponse de la préfecture au Pdt de la Fédé nale des synd de négociants en combustibles (août 1930).

Caran : dissolution entre 1921-1925"|462|||||||||||||||||||Non|Non|Oui|Oui|Oui|Oui|||||Chambre syndicale des marchands de bois et scieurs du Dauphiné||syndicat professionnel|région géographique|||||||||||
||29|4L|café de la Halle, rue Philis de la Charce|||||||||||||||Grenoble|4448 W 7|||||38||||||||AD||||38130|||463|||||||||||||||||||||||||||||syndicat des mécaniciens dentistes de la 9e région fédérale||Fédération/Union (dpt. région)|région géographique||||||||29842|||
|Autres services|89|8A||||||||||||||||La Mure|4448 W 7|||||38||||||||||||38132||"existe en 1931.
Création ?"|464|||||||||||||||||||||||||||||Syndicat professionnel des coiffeurs de la Mure||syndicat professionnel|commune (zones limitrophes)|||||||||||
BTP|Industrie|33|4Q|49 rue de Bourgogne||1912|||||Oui|Oui|||||||Vienne|||25/11/1912|25/11/1912||38|Oui|-1912|9|1914 : 16||||||||38133||dissous après 1914 et avant 1919|465|||||||||||||||||||Non|Non|Oui|Non|Non|Non|Non|Non|||Syndicat des maîtres maçons ruraux de la région viennoise||syndicat professionnel|commune (zones limitrophes)|||||||||||
||69|6A|7 place de la caserne|||||||||||||||Vienne|4448 W 7|||||38||||||||||||38134||"4448 W 7 : apparaît dans une correspondance entre la préf et la fédération des expéditeurs-exportateurs et producteurs-expéditeurs de fruits, légumes et primeurs (SS : Chateaurenard), datée de mars 1922. 
Pdt en 1922 : P. Puzin, aux roches de Condrieu. "|466|||||||||||||||||||||||||||||Syndicat des expéditeurs de fruits et primeurs de la vallée du Rhône||syndicat professionnel|inter départements|||||||||||
||91|7||||||||||||||||Grenoble|4448 W 7|||||38||||||||AD||||38135||4448 W 7 : apparaît dans une réponse de la préfecture au Pdt de la Fédé nale des synd de négociants en combustibles (août 1930).|467|||||||||||||||||||||||||||||Syndicat des chirurgiens dentistes de l'Isère||syndicat professionnel|département|||||||||||
